student_id,course_id,subject,feedback_text,rating,date,true_category,true_sentiment
S14718,BIO195,Biology,The Assessment Methods in the Biology class was below standard.,3,2024-10-30,Assessment Methods,Negative
S67997,CHE353,Chemistry,The instructor's Assessment Methods approach in Chemistry was outstanding.,5,2024-10-03,Assessment Methods,Positive
S49561,PSY111,Psychology,The Assessment Methods in the Psychology class exceeded my expectations.,5,2024-12-14,Assessment Methods,Positive
S44346,BIO180,Biology,"I think the Assessment Methods in Biology was average, nothing special.",3,2024-07-20,Assessment Methods,Neutral
S92001,COM887,Computer Science,The Course Content in the Computer Science course was adequate.,3,2024-05-15,Course Content,Neutral
S12080,PSY972,Psychology,I struggled with Psychology due to inadequate Facilities.,2,2024-05-14,Facilities,Negative
S75607,PSY620,Psychology,The instructor's Support Services approach in Psychology was outstanding.,4,2024-09-02,Support Services,Positive
S91344,MAT768,Mathematics,"Great Facilities in the Mathematics course, very helpful for my learning.",4,2024-05-10,Facilities,Positive
S51588,ECO377,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,4,2024-07-03,Teaching Quality,Positive
S95951,LIT953,Literature,The instructor's Course Content approach in Literature was outstanding.,5,2024-06-24,Course Content,Positive
S93439,PSY175,Psychology,I really enjoyed the Psychology course. The Course Content was excellent.,4,2024-09-24,Course Content,Positive
S64539,CHE923,Chemistry,The instructor's Course Content approach in Chemistry was outstanding.,4,2024-06-15,Course Content,Positive
S65362,MAT681,Mathematics,The Teaching Quality in Mathematics needs significant improvement.,3,2024-09-18,Teaching Quality,Negative
S63731,ECO997,Economics,The Learning Resources in the Economics course was adequate.,4,2024-06-30,Learning Resources,Neutral
S93504,HIS635,History,I really enjoyed the History course. The Teaching Quality was excellent.,5,2024-04-26,Teaching Quality,Positive
S92761,BIO736,Biology,The instructor's Course Content approach in Biology was outstanding.,4,2025-03-17,Course Content,Positive
S42844,PSY920,Psychology,I really enjoyed the Psychology course. The Course Content was excellent.,4,2025-03-10,Course Content,Positive
S73534,ECO134,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,4,2024-05-04,Teaching Quality,Positive
S44325,BIO623,Biology,The Facilities in the Biology class exceeded my expectations.,5,2024-11-05,Facilities,Positive
S17817,BIO207,Biology,I really enjoyed the Biology course. The Facilities was excellent.,4,2024-06-27,Facilities,Positive
S55380,ECO368,Economics,I really enjoyed the Economics course. The Support Services was excellent.,5,2024-06-07,Support Services,Positive
S13247,PHY130,Physics,The Course Content in the Physics class exceeded my expectations.,5,2024-09-21,Course Content,Positive
S86500,ECO496,Economics,The Learning Resources in Economics needs significant improvement.,2,2025-01-27,Learning Resources,Negative
S70268,COM459,Computer Science,I struggled with Computer Science due to inadequate Facilities.,1,2024-10-04,Facilities,Negative
S48174,ECO600,Economics,The Learning Resources in the Economics class exceeded my expectations.,5,2024-06-20,Learning Resources,Positive
S71976,BIO363,Biology,The instructor's Assessment Methods approach in Biology was outstanding.,4,2024-08-08,Assessment Methods,Positive
S59373,MAT802,Mathematics,Neither good nor bad Course Content in the Mathematics course.,4,2024-10-10,Course Content,Neutral
S65868,MAT478,Mathematics,"The Mathematics course had reasonable Facilities, but could be improved.",4,2024-05-24,Facilities,Neutral
S10033,PSY193,Psychology,The Course Content in the Psychology class exceeded my expectations.,5,2024-08-04,Course Content,Positive
S37875,LIT483,Literature,I really enjoyed the Literature course. The Facilities was excellent.,4,2024-05-14,Facilities,Positive
S71170,ECO143,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,5,2024-08-24,Teaching Quality,Positive
S35413,ECO910,Economics,"Great Assessment Methods in the Economics course, very helpful for my learning.",4,2024-11-12,Assessment Methods,Positive
S36650,PHY834,Physics,The Learning Resources in Physics met the basic requirements.,3,2024-06-14,Learning Resources,Neutral
S38189,MAT310,Mathematics,"I think the Teaching Quality in Mathematics was average, nothing special.",3,2024-11-08,Teaching Quality,Neutral
S57172,COM944,Computer Science,"Great Facilities in the Computer Science course, very helpful for my learning.",5,2024-10-04,Facilities,Positive
S27700,LIT457,Literature,The Learning Resources in Literature needs significant improvement.,2,2024-10-25,Learning Resources,Negative
S34489,PHY803,Physics,The Support Services in Physics needs significant improvement.,1,2024-05-25,Support Services,Negative
S56999,MAT211,Mathematics,The instructor's Assessment Methods approach in Mathematics was outstanding.,4,2024-06-01,Assessment Methods,Positive
S47228,MAT378,Mathematics,The Assessment Methods in Mathematics met the basic requirements.,4,2024-11-18,Assessment Methods,Neutral
S55736,BIO201,Biology,Neither good nor bad Support Services in the Biology course.,3,2024-08-13,Support Services,Neutral
S26755,CHE274,Chemistry,I found the Learning Resources in Chemistry to be very well organized and useful.,4,2024-06-30,Learning Resources,Positive
S25353,MAT278,Mathematics,The Course Content in the Mathematics class exceeded my expectations.,4,2024-05-08,Course Content,Positive
S38255,PSY985,Psychology,The Support Services in Psychology needs significant improvement.,1,2024-12-16,Support Services,Negative
