student_id,course_id,subject,feedback_text,rating,date,true_category,true_sentiment,processed_text,dominant_topic,cluster
S14718,BIO195,Biology,The Assessment Methods in the Biology class was below standard.,3,2024-10-30,Assessment Methods,Negative,assessment method biology class standard,Topic_1,1
S67997,CHE353,Chemistry,The instructor's Assessment Methods approach in Chemistry was outstanding.,5,2024-10-03,Assessment Methods,Positive,instructor assessment method approach chemistry outstanding,Topic_5,2
S49561,PSY111,Psychology,The Assessment Methods in the Psychology class exceeded my expectations.,5,2024-12-14,Assessment Methods,Positive,assessment method psychology class exceeded expectation,Topic_1,1
S44346,BIO180,Biology,"I think the Assessment Methods in Biology was average, nothing special.",3,2024-07-20,Assessment Methods,Neutral,think assessment method biology average nothing special,Topic_5,2
S92001,COM887,Computer Science,The Course Content in the Computer Science course was adequate.,3,2024-05-15,Course Content,Neutral,course content computer science course adequate,Topic_2,2
S12080,PSY972,Psychology,I struggled with Psychology due to inadequate Facilities.,2,2024-05-14,Facilities,Negative,struggled psychology due inadequate facility,Topic_3,2
S75607,PSY620,Psychology,The instructor's Support Services approach in Psychology was outstanding.,4,2024-09-02,Support Services,Positive,instructor support service approach psychology outstanding,Topic_5,2
S91344,MAT768,Mathematics,"Great Facilities in the Mathematics course, very helpful for my learning.",4,2024-05-10,Facilities,Positive,great facility mathematics course helpful learning,Topic_2,4
S51588,ECO377,Economics,I found the Teaching Quality in Economics to be very well organized and useful.,4,2024-07-03,Teaching Quality,Positive,found teaching quality economics well organized useful,Topic_3,3
S95951,LIT953,Literature,The instructor's Course Content approach in Literature was outstanding.,5,2024-06-24,Course Content,Positive,instructor course content approach literature outstanding,Topic_5,2
S93439,PSY175,Psychology,I really enjoyed the Psychology course. The Course Content was excellent.,4,2024-09-24,Course Content,Positive,really enjoyed psychology course course content excellent,Topic_2,0
S64539,CHE923,Chemistry,The instructor's Course Content approach in Chemistry was outstanding.,4,2024-06-15,Course Content,Positive,instructor course content approach chemistry outstanding,Topic_5,2
S65362,MAT681,Mathematics,The Teaching Quality in Mathematics needs significant improvement.,3,2024-09-18,Teaching Quality,Negative,teaching quality mathematics need significant improvement,Topic_3,2
S63731,ECO997,Economics,The Learning Resources in the Economics course was adequate.,4,2024-06-30,Learning Resources,Neutral,learning resource economics course adequate,Topic_4,2
S93504,HIS635,History,I really enjoyed the History course. The Teaching Quality was excellent.,5,2024-04-26,Teaching Quality,Positive,really enjoyed history course teaching quality excellent,Topic_2,0
